,EVENT_ID,osm
1001,177858,3
1002,177859,3
1003,177860,20
1004,177861,6
1005,177863,344
1006,197934,30
1007,197982,2
1008,198501,3
1009,184736,11
1010,181321,15
1011,180899,29
1012,197346,174
1013,167469,5
1014,191514,67
1015,191516,12
1016,191517,6
1017,191519,549
1018,191521,7
1019,188802,0
1020,188807,13
1021,188811,0
1022,195074,1205
1023,195075,6
1024,180904,3643
1025,178297,389
1026,178307,32
1027,178310,122
1028,167434,1
1029,167436,5
1030,192925,6
1031,177864,4
1032,177865,277
1033,177866,0
1034,177867,5
1035,184016,1
1036,179538,18
1037,176578,8
1038,177824,3
1039,175986,9
1040,173626,4
1041,173628,4
1042,173646,3
1043,203062,1182
1044,203068,2694
1045,201418,13
1046,201419,9
1047,202805,84
1048,200847,3024
1049,202305,327
1050,203299,11
1051,202499,191
1052,202945,30
1053,203096,371
1054,202502,101
1055,202111,41
1056,196799,2458
1057,202364,3678
1058,196800,3435
1059,203475,1149
1060,196776,30
1061,196798,3590
1062,203072,3412
1063,203073,3412
1064,202319,25
1065,202020,9
1066,141799,686
1067,200283,142
1068,184020,17
1069,184023,2
1070,184024,2
1071,179462,3
1072,179463,5
1073,173676,10
1074,182330,2
1075,182353,1
1076,182401,19
1077,182411,2
1078,184007,8
1079,179457,10
1080,179913,0
1081,184009,1
1082,185429,1
1083,185430,3
1084,203176,0
1085,200730,4
1086,203017,9
1087,203018,24
1088,200602,36
1089,203043,12
1090,199865,102
1091,203395,695
1092,202210,1087
1093,144655,10
1094,203564,457
1095,200595,752
1096,198003,11
1097,203989,29
1098,203988,457
1099,204244,462
1100,202306,23
1101,202344,22
1102,202941,7
1103,202942,4
1104,201979,146
1105,202275,70
1106,203675,102
1107,203668,3
1108,203670,176
1109,203672,49
1110,202211,53
1111,202217,53
1112,202295,27
1113,203074,2179
1114,203075,3143
1115,200704,49
1116,202501,657
1117,199881,4
1118,201362,2
1119,201340,5
1120,201364,4
1121,201343,109
1122,202936,4
1123,202792,12
1124,202940,20
1125,202307,36
1126,203200,0
1127,203201,73
1128,203015,12
1129,203016,18
1130,202324,18
1131,202329,41
1132,202347,7
1133,200314,11
1134,203039,4
1135,207394,51
1136,202335,3
1137,202349,1
1138,200729,15
1139,203076,2870
1140,203040,3
1141,202490,3
1142,201378,87
1143,201363,5
1144,202946,13
1145,197135,3
1146,203182,3
1147,202354,7
1148,197623,2
1149,202800,30
1150,202799,4
1151,203169,9
1152,197133,6
1153,200769,5
1154,203042,20
1155,202934,6
1156,170913,1
1157,197648,10
1158,192031,5
1159,192033,1
1160,192034,9
1161,192035,8
1162,196561,28
1163,190111,23
1164,190112,5
1165,190113,111
1166,190337,11
1167,190686,8
1168,191224,49
1169,195640,20
1170,193171,348
1171,193172,41
1172,194242,1360
1173,194252,9
1174,194573,2
1175,184000,4
1176,193173,968
1177,193174,152
1178,193220,16
1179,193223,170
1180,193224,117
1181,193225,15
1182,190811,30
1183,190814,22
1184,190815,2
1185,187370,9
1186,194189,1
1187,194190,0
1188,183845,4
1189,194359,1
1190,194360,3
1191,195608,44
1192,195636,19
1193,187484,2
1194,195764,1
1195,188561,7
1196,194710,22
1197,195637,8
1198,195641,20
1199,187452,20
1200,190650,6
1201,190803,381
1202,186729,2
1203,195949,1
1204,194695,7
1205,180213,70
1206,197578,2
1207,166498,649
1208,166510,4
1209,166511,12
1210,187062,7
1211,195605,138
1212,176502,11
1213,193848,7
1214,191483,44
1215,197581,8
1216,166512,24
1217,193507,6
1218,188902,13
1219,190393,642
1220,195607,7
1221,193785,11
1222,191969,648
1223,190370,8
1224,190560,1
1225,190565,8
1226,193236,4
1227,193226,23
1228,190295,1
1229,190297,2
1230,190298,2
1231,175941,13
1232,186742,249
1233,192948,992
1234,194525,32
1235,194528,1
1236,194530,523
1237,188578,3
1238,193154,44
1239,193155,97
1240,193156,20
1241,193157,1913
1242,193159,140
1243,193162,1067
1244,193164,21
1245,188133,6
1246,192612,0
1247,192613,2
1248,192614,2
1249,171352,0
1250,192949,4
1251,192992,26
1252,195238,14
1253,191428,3
1254,194534,574
1255,194536,154
1256,193676,904
1257,193677,177
1258,193683,325
1259,193131,111
1260,193132,26
1261,188590,77
1262,188592,164
1263,197657,1
1264,193169,204
1265,192615,0
1266,192616,2
1267,196302,0
1268,196769,82
1269,193691,5
1270,193695,63
1271,187066,26
1272,187067,0
1273,197679,8
1274,189295,27
1275,191897,51
1276,189099,15
1277,197658,1
1278,197660,7
1279,197661,7
1280,197662,3
1281,166430,144
1282,195461,1
1283,195462,43
1284,195467,33
1285,195470,115
1286,170896,3
1287,196773,4
1288,196774,1
1289,196775,23
1290,196778,20
1291,187068,0
1292,187070,1
1293,192027,55
1294,192030,7
1295,197004,22
1296,189103,13
1297,189105,82
1298,166483,133
1299,166489,7
1300,166493,277
1301,188145,1
1302,188163,153
1303,188176,24
1304,187395,3
1305,194538,33
1306,194539,65
1307,194540,237
1308,193143,78
1309,193144,140
1310,193145,106
1311,193146,44
1312,193149,13
1313,193150,18
1314,193151,2
1315,176968,9
1316,186738,98
1317,192605,0
1318,192606,0
1319,192607,1
1320,192608,0
1321,193663,5
1322,196779,4
1323,197577,2
1324,195879,0
1325,193152,117
1326,191906,17
1327,192609,2
1328,192610,4
1329,192611,1
1330,166059,4
1331,166070,52
1332,166069,7
1333,200273,828
1334,208097,801
1335,200378,50
1336,198212,2
1337,197931,13
1338,198726,1
1339,198998,7
1340,200280,3
1341,198735,10
1342,167555,4158
1343,167556,2689
1344,167563,65
1345,167568,34
1346,167571,14
1347,206150,492
1348,206151,817
1349,206152,402
1350,188662,2
1351,198610,1207
1352,199447,11
1353,199470,2
1354,199472,15
1355,200312,411
1356,200309,10
1357,197469,1
1358,198052,15
1359,198053,4
1360,199976,3
1361,199982,3
1362,198371,85
1363,196891,56
1364,197470,3
1365,198089,6
1366,199967,3
1367,199971,28
1368,186953,4
1369,198093,64
1370,198094,13
1371,198095,10
1372,205352,1528
1373,205356,337
1374,206149,326
1375,199972,0
1376,197500,22
1377,197501,21
1378,197503,11
1379,186954,13
1380,186955,26
1381,186956,0
1382,186957,129
1383,199436,2
1384,197504,3
1385,198611,1207
1386,200561,139
1387,198515,5
1388,199286,14
1389,199306,786
1390,206704,79
1391,199439,2
1392,199442,22
1393,200310,338
1394,265066,85
1395,206153,291
1396,206154,314
1397,199443,47
1398,199444,155
1399,199445,11
1400,206155,168
